amfi_code,date,nav,daily_return
100016,2022-01-03,503.1674,-0.01746686860150226
100016,2022-01-04,531.285,0.055881203750481445
100016,2022-01-06,474.1732,-0.10749748251879865
100016,2022-01-07,452.584,-0.04553019867002184
100016,2022-01-08,433.0211,-0.04322490410619906
100016,2022-01-09,424.3603,-0.02000087293667674
100016,2022-01-11,448.4277,0.056714541864542944
100016,2022-01-12,482.4201,0.07580352418015202
100016,2022-02-02,515.5386,0.06865074651740244
100016,2022-02-03,504.7495,-0.02092782189345277
100016,2022-02-05,524.0515,0.03824075110525116
100016,2022-02-06,473.1602,-0.09711125719514213
100016,2022-02-08,423.7137,-0.10450266104376482
100016,2022-02-09,418.068,-0.013324327252104529
100016,2022-02-11,453.5279,0.08481849842609335
100016,2022-02-12,480.9949,0.060562977492674586
100016,2022-03-01,520.4608,0.08205055812442086
100016,2022-03-02,512.0153,-0.01622696656501299
100016,2022-03-03,505.6316,-0.012467791489824687
100016,2022-03-05,515.5881,0.01969121391938322
100016,2022-03-06,470.7754,-0.08691569879134153
100016,2022-03-08,423.3646,-0.1007078959520824
100016,2022-03-10,430.3701,0.016547203049097625
100016,2022-03-11,455.1164,0.05750004472894377
100016,2022-04-01,515.0971,0.131791998706265
100016,2022-04-02,513.6729,-0.0027649155858184837
100016,2022-04-03,504.6233,-0.01761743708885566
100016,2022-04-04,534.7762,0.059753285272400314
100016,2022-04-05,522.4674,-0.023016731111070388
100016,2022-04-07,443.3196,-0.15148849478455506
100016,2022-04-08,427.5619,-0.03554478529710847
100016,2022-04-10,428.3154,0.0017623179240247033
100016,2022-04-11,452.9791,0.057583033437508924
100016,2022-05-01,521.7239,0.15176152718745728
100016,2022-05-04,531.2213,0.01820388140163809
100016,2022-05-05,517.1078,-0.02656802353369503
100016,2022-05-07,449.0289,-0.13165320654610113
100016,2022-05-08,424.424,-0.05479580490253533
100016,2022-05-09,415.1206,-0.021920061071004304
100016,2022-05-10,432.9656,0.04298750772667015
100016,2022-05-12,483.5309,0.1167882621621672
100016,2022-06-01,515.788,0.06671155866150436
100016,2022-06-04,532.3217,0.03205522423941609
100016,2022-06-05,514.6837,-0.03313409917348842
100016,2022-06-06,476.2119,-0.07474843287246136
100016,2022-06-07,451.9322,-0.05098507618142256
100016,2022-06-09,417.805,-0.07551398196455139
100016,2022-06-10,426.8679,0.021691698280298155
100016,2022-06-12,485.0894,0.13639231246950168
100016,2022-07-01,515.1639,0.061997850293162404
100016,2022-07-02,508.0666,-0.013776780554693446
100016,2022-07-03,504.411,-0.0071951196949375795
100016,2022-07-04,526.7582,0.04430355404620445
100016,2022-07-06,481.6458,-0.08564157140790596
100016,2022-07-07,446.2213,-0.07354886100948044
100016,2022-07-09,418.6355,-0.061820894699558315
100016,2022-07-10,421.495,0.006830524406076455
100016,2022-07-11,457.1295,0.0845431143904436
100016,2022-07-12,481.0854,0.05240506246041865
100016,2022-08-02,510.3595,0.060850111019789876
100016,2022-08-03,518.6513,0.016246978845304128
100016,2022-08-04,525.7986,0.013780549667955944
100016,2022-08-06,480.4735,-0.0862023976480728
100016,2022-08-07,440.6669,-0.0828486898861227
100016,2022-08-08,423.1925,-0.03965444193789003
100016,2022-08-09,423.2368,0.00010468049410139457
100016,2022-08-11,457.3685,0.08064445246727114
100016,2022-08-12,483.5409,0.057223879650653675
100016,2022-09-02,509.0223,0.05269750707747778
100016,2022-09-03,517.7387,0.01712380773887512
100016,2022-09-05,516.5793,-0.002239353558078583
100016,2022-09-06,473.1759,-0.08402078828942616
100016,2022-09-08,422.7537,-0.1065612175091758
